pairValue,buyBook,exchangeId,sellBook,updated,buyTotal,satoshiPrice,usdPrice,exchangeLogId,created,bestPair,sellTotalBtc,volume,pairPrice,activePairs,sellTotal,volumeBtc,buyTotalBtc,coinId
0,[],17,[],2019-05-03 00:53:51,0.0,0,0,7558891,2019-05-03 00:53:51,btc,0.0,0.0,0,btc,0.0,0.0,0.0,21
1,[],12,[],2019-05-08 11:57:31,8258448359.808,0.0000000005,0.00000000000002955885000000001,7580964,2019-05-08 11:57:31,btc,311119411330.69116,0.0,0.0000000005,btc,2898516526.5668383,0.05679814313676325,1.994376993004,23
0.0000000002887263,[],27,[],2019-05-08 11:57:37,9202325.0,5.774526e-18,3.4137669571020006e-22,7580965,2019-05-08 11:57:37,eth,10182.626460626512,252163086.0,0.00000002,eth,4517677.6944,1.456122296347236e-09,2.7439043287977e-11,23
1,[],4,[],2019-05-08 11:57:38,820108.3110052,0.00000046,0.000000000027194142000000002,7580966,2019-05-08 11:57:38,btc,14.834771411947735,0.0,0.00000046,btc,2013561.58342197,0.10556794,0.0990121262512147,24
1,[],22,[],2019-05-08 11:57:41,1021.76,0.00000100,0.0000000000591177,7580967,2019-05-08 11:57:41,BTC,7.415e-05,0.0,0.00000100,BTC,23.919354838709676,0.0,0.00011186,24
0.0,[],25,[],2019-05-08 11:57:42,0.0,0,0,7580968,2019-05-08 11:57:42,,0.0,0.0,0.0,btc,0.0,0.0,0.0,24
1,[],4,[],2019-05-08 11:57:44,26962932.88208652,0.00000540,0.00000000031923558000000003,7580969,2019-05-08 11:57:44,btc,12.676632391663707,0.0,0.00000540,btc,319531.45060738,0.13326828,0.5751766327925777,26
1,[],10,[],2019-05-08 11:57:46,117656.6877039,0.00000852,0.000000000503682804,7580970,2019-05-08 11:57:46,btc,25.64124289926139,2370.34806823,0.00000852,btc,19798.01927609,0.0,0.0685020822223744,26
0,[],2,[],2019-01-20 23:25:56,0.0,0,0,6476976,2019-01-20 23:25:56,,0.0,0.0,0,,0.0,0.0,0.0,26
1,[],11,[],2019-04-30 04:16:17,7094566.83690364,0.00000006,0.000000000003115554,7518027,2019-04-30 04:16:17,btc,67504.138725751,6116.07566417,0.00000006,btc,6591680.7351637,0.0,0.38529422037817224,27
1,[],5,[],2019-04-26 09:47:06,0.0,0,0,7465326,2019-04-26 09:47:06,btc,0.0,0.0,0,btc,0.0,0.0,0.0,27
1,[],3,[],2019-04-28 02:38:55,141621.60361514,0.00000001,0.0000000000005253330000000001,7491060,2019-04-28 02:38:55,btc,2.501704004580372,921815.184511,0.00000001,btc,21091882.2176418,0.0,0.0014162160361513999,27
1,[],4,[],2019-05-08 11:57:47,1529993770.7025487,0.00000001,0.0000000000005911770000000001,7580971,2019-05-08 11:57:47,btc,5.116380515198978,0.0,0.00000001,"btc,ltc",282148897.86547136,0.38912156,9.61334024735695,29
1,[],7,[],2019-05-08 11:57:48,106858448.2164338,0.00000001,0.0000000000005911770000000001,7580972,2019-05-08 11:57:48,btc,46550610.684606075,13068656.9077,0.00000001,btc,41362562.20663183,0.26137314,1.068584482164338,29
1,[],4,[],2019-05-08 11:57:49,1729922.94058342,0.00000012,0.000000000007094124000000001,7580973,2019-05-08 11:57:49,btc,3.938813476421814,0.0,0.00000012,btc,2179968.52132353,0.0,0.0518768120646511,30
0,[],17,[],2019-05-03 01:11:25,0.0,0,0,7559066,2019-05-03 01:11:25,btc,0.0,0.0,0,btc,0.0,0.0,0.0,30
1,[],4,[],2019-05-08 11:57:51,213169.53733173,0.00005759,0.0000000034045883430000002,7580974,2019-05-08 11:57:51,btc,6.309033730167309,0.0,0.00005759,btc,61070.98444366,1.01447513,0.6446065926207714,31
1,[],21,[],2019-05-08 11:57:52,81974.38632663,0.00005819999999999999842513129233,0.0000000034406501400000003,7580975,2019-05-08 11:57:52,btc,3.5762782102921022,234425.07813212,0.0000581999999999999984251312923344556793381343595683574676513671875,btc,55223.418653450004,14.36614831,4.3614418333936325,31
0,[],2,[],2019-01-20 23:28:43,0.0,0,0,6477009,2019-01-20 23:28:43,,0.0,0.0,0,,0.0,0.0,0.0,32
0,[],4,[],2019-05-08 11:57:54,0.0,0,0,7580976,2019-05-08 11:57:54,,0.0,0.0,0,,0.0,0.0,0.0,33
1,[],12,[],2019-03-30 07:55:10,40641173.964,0.00000003,0.000000000001228359,7108785,2019-03-30 07:55:10,btc,4233210.82356125,0.0,0.00000003,btc,28378394.68333462,0.0126927883965248,0.90752895892,33
0,[],4,[],2019-05-08 11:57:55,0.0,0,0,7580977,2019-05-08 11:57:55,,3.7721300290737063,0.0,0,,151627300.90263787,0.00012248,0.0,34
1,[],5,[],2019-05-08 11:57:56,0.0,0,0,7580978,2019-05-08 11:57:56,btc,0.0,0.00461555,0,btc,0.0,0.0,0.0,34
0.000000000133684,[],4,[],2019-05-02 18:17:45,3384239970.6360936,1.3368400000000002e-18,7.293946092400001e-23,7556428,2019-05-02 18:17:45,ltc,5.381102735485169e-08,0.0,0.00000001,ltc,6862894551.7408495,0.0,4.524187362345155e-09,36
1,[],5,[],2019-05-02 18:17:46,0.0,0,0,7556429,2019-05-02 18:17:46,btc,0.0,0.0,0,btc,0.0,0.0,0.0,36
0.0000000002926451,[],17,[],2019-05-02 18:17:47,200000.0,2.9264510000000002e-18,1.596703856561e-22,7556430,2019-05-02 18:17:47,eth,0.20942468735267253,0.0,0.00000001,"btc,eth",1018272.20243647,0.0,5.852902e-13,36
0.000000000133684,[],27,[],2019-05-02 18:17:55,7883196.008,1.3368400000000002e-18,7.293946092400001e-23,7556431,2019-05-02 18:17:55,ltc,25567.4086131264,0.0,0.00000001,"ltc,eth",21753551.64,0.0,1.0538571751334722e-11,36
1,[],4,[],2019-05-08 11:57:56,415181.21849927,0.00000025,0.000000000014779425,7580979,2019-05-08 11:57:56,btc,19772.895481565338,0.0,0.00000025,btc,995596.90286836,0.01767033,0.0575031298133355,37
1,[],12,[],2019-05-08 11:57:57,1071833.51825172,0.00000025,0.000000000014779425,7580980,2019-05-08 11:57:57,btc,61604.97682239013,0.0,0.00000025,btc,589768.24063757,0.0376467356226735,0.1086550235794939,37
1,[],27,[],2019-05-08 11:58:04,1600.0,0.00000015,0.000000000008867655000000001,7580981,2019-05-08 11:58:04,btc,24.12824334291843,0.0,0.00000015,btc,5839.49448498,0.0,3e-05,37
1,[],17,[],2019-05-03 01:11:36,211752.74075282,0.00000025,0.000000000013700074999999998,7559074,2019-05-03 01:11:36,btc,0.055484923955058496,0.0,0.00000025,"btc,eth",1387.19918473,0.0,0.0005381851887916605,37
1,[],5,[],2019-05-08 11:58:06,0.0,0,0,7580982,2019-05-08 11:58:06,btc,0.0,0.12656596,0,btc,0.0,0.0,0.0,42
